occasion,gender,outfit,footwear,accessories,hair,style_note
Wedding,women,"Silk saree, lehenga, anarkali, or embroidered gown","Heels, ethnic juttis, embellished sandals","Statement earrings, bangles, layered necklace, clutch","Soft curls, floral bun, half-up hairstyle","Use rich fabrics and royal colors for premium impact"
Wedding,men,"Sherwani, kurta with Nehru jacket, bandhgalas, or formal suit","Mojaris, loafers, formal shoes","Watch, brooch, pocket square, perfume","Side-part, quiff, neat natural style","Choose fitted tailoring and coordinated accessories"
Interview,women,"Blazer with trousers, formal kurti, shirt, blouse, pencil skirt","Closed-toe flats, low heels, loafers","Studs, watch, thin chain, structured handbag","Neat bun, ponytail, clean open hairstyle","Keep colors calm, clean, and confident"
Interview,men,"Formal shirt, trousers, blazer, suit, smart business casual","Oxford shoes, derbies, loafers","Watch, belt, minimal perfume","Neat haircut, trimmed beard","Prioritize fit, clean shoes, and simple colors"
College,women,"Jeans, kurti, oversized tee, casual dress, denim jacket","Sneakers, flats, sandals","Hoops, tote bag, smartwatch, simple chain","Claw clip, braids, ponytail","Comfort first, then add one trendy item"
College,men,"Casual shirt, tee, denim, chinos, overshirt","Sneakers, casual loafers, sandals","Watch, cap, simple chain, backpack","Textured casual hairstyle","Use layers and clean sneakers to look polished"
Party,women,"Statement dress, jumpsuit, satin shirt, shimmer top","Heels, boots, stylish flats","Bold earrings, clutch, rings, layered necklace","Glossy waves, sleek bun, high ponytail","Choose one statement item and balance the rest"
Party,men,"Smart casual shirt, blazer, black jeans, bomber jacket","Chelsea boots, sneakers, loafers","Watch, chain, bracelet, perfume","Quiff, messy texture, sleek side part","Monochrome or contrast outfits work well"
Travel,women,"Co-ord set, cargo pants, loose tee, shrug, travel dress","Comfort sneakers, cushioned sandals","Sunglasses, sling bag, cap, minimal jewelry","Braids, ponytail, claw clip","Pick wrinkle-free fabrics and comfortable footwear"
Travel,men,"Cargo pants, breathable tee, overshirt, hoodie, light jacket","Comfort sneakers, walking shoes","Cap, sunglasses, smartwatch, crossbody bag","Low-maintenance style","Layer lightly and carry a compact bag"
